Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,-1,336.0,-1.0,-1.0,9424,1.0,0.0
0.0,true,-1,348.0,-1.0,-1.0,9247,1.0,0.0
0.0,true,-1,518.0,-1.0,-1.0,12365,1.0,0.0
0.0,true,-1,364.0,-1.0,-1.0,9882,1.0,0.0
0.0,true,-1,390.0,-1.0,-1.0,11433,1.0,0.0
0.0,true,-1,400.0,-1.0,-1.0,8018,1.0,0.0
0.0,true,-1,304.0,-1.0,-1.0,9577,1.0,0.0
0.0,true,-1,388.0,-1.0,-1.0,8690,1.0,0.0
0.0,true,-1,300.0,-1.0,-1.0,8004,1.0,0.0
0.0,true,-1,306.0,-1.0,-1.0,8161,1.0,0.0
0.0,true,-1,348.0,-1.0,-1.0,7529,1.0,0.0
0.0,true,-1,288.0,-1.0,-1.0,6957,1.0,0.0
0.0,true,-1,428.0,-1.0,-1.0,11304,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,8816,1.0,0.0
0.0,true,-1,438.0,-1.0,-1.0,9999,1.0,0.0
0.0,true,-1,346.0,-1.0,-1.0,8118,1.0,0.0
0.0,true,-1,354.0,-1.0,-1.0,8007,1.0,0.0
0.0,true,-1,356.0,-1.0,-1.0,10066,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,8908,1.0,0.0
0.0,true,-1,388.0,-1.0,-1.0,8343,1.0,0.0
0.0,true,-1,346.0,-1.0,-1.0,10260,1.0,0.0
0.0,true,-1,316.0,-1.0,-1.0,7729,1.0,0.0
0.0,true,-1,506.0,-1.0,-1.0,12228,1.0,0.0
0.0,true,-1,328.0,-1.0,-1.0,6477,1.0,0.0
0.0,true,-1,336.0,-1.0,-1.0,7565,1.0,0.0
0.0,true,-1,540.0,-1.0,-1.0,13947,1.0,0.0
0.0,true,-1,428.0,-1.0,-1.0,9344,1.0,0.0
0.0,true,-1,472.0,-1.0,-1.0,11777,1.0,0.0
0.0,true,-1,344.0,-1.0,-1.0,7963,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,9648,1.0,0.0
0.0,true,-1,350.0,-1.0,-1.0,7855,1.0,0.0
0.0,true,-1,384.0,-1.0,-1.0,8987,1.0,0.0
0.0,true,-1,340.0,-1.0,-1.0,8107,1.0,0.0
0.0,true,-1,366.0,-1.0,-1.0,8596,1.0,0.0
0.0,true,-1,304.0,-1.0,-1.0,7180,1.0,0.0
0.0,true,-1,414.0,-1.0,-1.0,8540,1.0,0.0
0.0,true,-1,428.0,-1.0,-1.0,8821,1.0,0.0
0.0,true,-1,372.0,-1.0,-1.0,9558,1.0,0.0
0.0,true,-1,352.0,-1.0,-1.0,8830,1.0,0.0
0.0,true,-1,462.0,-1.0,-1.0,10690,1.0,0.0
0.0,true,-1,428.0,-1.0,-1.0,12351,1.0,0.0
0.0,true,-1,376.0,-1.0,-1.0,8276,1.0,0.0
0.0,true,-1,326.0,-1.0,-1.0,6748,1.0,0.0
0.0,true,-1,494.0,-1.0,-1.0,12874,1.0,0.0
0.0,true,-1,334.0,-1.0,-1.0,8309,1.0,0.0
